date,tourney_id,tourney_name,surface,tourney_level,round,best_of,draw_size,winner,loser,winner_age,loser_age,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_elo,loser_elo,winner_surface_elo,loser_surface_elo,elo_diff,surface_elo_diff,winner_expected,winner_surface_expected,target
2021-01-04,2021-0499,Delray Beach,Hard,A,R32,3,32,Thiago Monteiro,Thomaz Bellucci,26.5,33.0,84.0,281.0,820.0,185.0,1500.0,1500.0,1500.0,1500.0,0.0,0.0,0.5,0.5,1
2021-01-04,2021-0499,Delray Beach,Hard,A,R32,3,32,Sebastian Korda,Soon Woo Kwon,20.5,23.0,119.0,95.0,566.0,768.0,1500.0,1500.0,1500.0,1500.0,0.0,0.0,0.5,0.5,1
2021-01-04,2021-0499,Delray Beach,Hard,A,R32,3,32,Tommy Paul,Ji Sung Nam,23.6,27.3,52.0,268.0,1080.0,205.0,1500.0,1500.0,1500.0,1500.0,0.0,0.0,0.5,0.5,1
2021-01-04,2021-0499,Delray Beach,Hard,A,R32,3,32,Cameron Norrie,Jc Aragone,25.3,25.5,74.0,299.0,877.0,165.0,1500.0,1500.0,1500.0,1500.0,0.0,0.0,0.5,0.5,1
2021-01-04,2021-0499,Delray Beach,Hard,A,R32,3,32,Bjorn Fratangelo,Kevin King,27.4,29.8,274.0,304.0,195.0,154.0,1500.0,1500.0,1500.0,1500.0,0.0,0.0,0.5,0.5,1
2021-01-04,2021-0499,Delray Beach,Hard,A,R32,3,32,Frances Tiafoe,Donald Young,22.9,31.4,62.0,327.0,1005.0,135.0,1500.0,1500.0,1500.0,1500.0,0.0,0.0,0.5,0.5,1
2021-01-04,2021-0499,Delray Beach,Hard,A,R32,3,32,Ivo Karlovic,Pablo Andujar,41.8,34.9,148.0,59.0,444.0,1044.0,1500.0,1500.0,1500.0,1500.0,0.0,0.0,0.5,0.5,1
2021-01-04,2021-0499,Delray Beach,Hard,A,R32,3,32,Roberto Quiroz,Noah Rubin,28.8,24.8,293.0,251.0,171.0,219.0,1500.0,1500.0,1500.0,1500.0,0.0,0.0,0.5,0.5,1
2021-01-04,2021-0499,Delray Beach,Hard,A,R32,3,32,Daniel Elahi Galan,Andrej Martin,24.5,31.2,115.0,100.0,606.0,734.0,1500.0,1500.0,1500.0,1500.0,0.0,0.0,0.5,0.5,1
2021-01-04,2021-0499,Delray Beach,Hard,A,R32,3,32,Sam Querrey,Mackenzie Mcdonald,33.2,25.7,56.0,194.0,1065.0,335.0,1500.0,1500.0,1500.0,1500.0,0.0,0.0,0.5,0.5,1
2021-01-04,2021-0499,Delray Beach,Hard,A,R32,3,32,Gianluca Mager,Ryan Harrison,26.0,28.6,101.0,481.0,733.0,73.0,1500.0,1500.0,1500.0,1500.0,0.0,0.0,0.5,0.5,1
2021-01-04,2021-0499,Delray Beach,Hard,A,R32,3,32,Christian Harrison,Tomas Martin Etcheverry,26.6,21.4,789.0,256.0,22.0,216.0,1500.0,1500.0,1500.0,1500.0,0.0,0.0,0.5,0.5,1
2021-01-04,2021-0499,Delray Beach,Hard,A,R16,3,32,John Isner,Thiago Monteiro,35.6,26.5,25.0,84.0,1850.0,820.0,1500.0,1516.0,1500.0,1516.0,-16.0,-16.0,0.4769904127024377,0.4769904127024377,1
2021-01-04,2021-0499,Delray Beach,Hard,A,R16,3,32,Sebastian Korda,Tommy Paul,20.5,23.6,119.0,52.0,566.0,1080.0,1516.0,1516.0,1516.0,1516.0,0.0,0.0,0.5,0.5,1
2021-01-04,2021-0499,Delray Beach,Hard,A,R16,3,32,Cameron Norrie,Adrian Mannarino,25.3,32.5,74.0,34.0,877.0,1561.0,1516.0,1500.0,1516.0,1500.0,16.0,16.0,0.5230095872975623,0.5230095872975623,1
2021-01-04,2021-0499,Delray Beach,Hard,A,R16,3,32,Frances Tiafoe,Bjorn Fratangelo,22.9,27.4,62.0,274.0,1005.0,195.0,1516.0,1516.0,1516.0,1516.0,0.0,0.0,0.5,0.5,1
2021-01-04,2021-0499,Delray Beach,Hard,A,R16,3,32,Roberto Quiroz,Ivo Karlovic,28.8,41.8,293.0,148.0,171.0,444.0,1516.0,1516.0,1516.0,1516.0,0.0,0.0,0.5,0.5,1
2021-01-04,2021-0499,Delray Beach,Hard,A,R16,3,32,Hubert Hurkacz,Daniel Elahi Galan,23.8,24.5,35.0,115.0,1518.0,606.0,1500.0,1516.0,1500.0,1516.0,-16.0,-16.0,0.4769904127024377,0.4769904127024377,1
2021-01-04,2021-0499,Delray Beach,Hard,A,R16,3,32,Gianluca Mager,Sam Querrey,26.0,33.2,101.0,56.0,733.0,1065.0,1516.0,1516.0,1516.0,1516.0,0.0,0.0,0.5,0.5,1
2021-01-04,2021-0499,Delray Beach,Hard,A,R16,3,32,Christian Harrison,Cristian Garin,26.6,24.5,789.0,22.0,22.0,2180.0,1516.0,1500.0,1516.0,1500.0,16.0,16.0,0.5230095872975623,0.5230095872975623,1
2021-01-04,2021-0499,Delray Beach,Hard,A,QF,3,32,Sebastian Korda,John Isner,20.5,35.6,119.0,25.0,566.0,1850.0,1532.0,1516.736306793522,1532.0,1516.736306793522,15.26369320647791,15.26369320647791,0.5219520991413947,0.5219520991413947,1
2021-01-04,2021-0499,Delray Beach,Hard,A,QF,3,32,Cameron Norrie,Frances Tiafoe,25.3,22.9,74.0,62.0,877.0,1005.0,1531.263693206478,1532.0,1531.263693206478,1532.0,-0.7363067935220897,-0.7363067935220897,0.49894037093221266,0.49894037093221266,1
2021-01-04,2021-0499,Delray Beach,Hard,A,QF,3,32,Hubert Hurkacz,Roberto Quiroz,23.8,28.8,35.0,293.0,1518.0,171.0,1516.736306793522,1532.0,1516.736306793522,1532.0,-15.26369320647791,-15.26369320647791,0.4780479008586052,0.4780479008586052,1
2021-01-04,2021-0499,Delray Beach,Hard,A,QF,3,32,Christian Harrison,Gianluca Mager,26.6,26.0,789.0,101.0,22.0,733.0,1531.263693206478,1532.0,1531.263693206478,1532.0,-0.7363067935220897,-0.7363067935220897,0.49894037093221266,0.49894037093221266,1
