player,overall_elo,hard_elo,clay_elo,grass_elo,carpet_elo
Jannik Sinner,2326.7533747848443,2248.4229338888244,2060.6789099015214,1855.7600305857989,1500.0
Carlos Alcaraz,2224.303086892363,2119.1551722122613,2103.1134219341834,1921.7766324499216,1500.0
Novak Djokovic,2089.0712686004367,2042.148543196527,2003.14081258093,2008.3576887356792,1500.0
Alexander Zverev,2018.849034965041,1962.8708331472753,1904.041068457368,1688.5176367208887,1500.0
Roger Federer,2002.3711283755915,2004.9830375288789,1904.1253458242622,1925.4475308947283,1500.0
Arthur Fils,1982.640166802346,1841.4689916974048,1853.4598982985538,1557.5857354584743,1500.0
Juan Martin del Potro,1925.4405182918144,1956.885757378617,1779.092474661304,1726.637784798524,1500.0
Daniil Medvedev,1898.931978583906,1914.964554705386,1728.5128890335145,1727.8752082411847,1500.0
Felix Auger Aliassime,1893.6842128443702,1861.1486003805558,1691.0594746416728,1582.556734107184,1500.0
Jack Draper,1892.9065204291865,1907.9543193971358,1694.1224894816587,1646.1317064422792,1500.0
Robin Soderling,1887.7075311554165,1829.1688730796675,1778.455180512393,1582.8579881352157,1500.0
Ben Shelton,1874.4296052731,1845.6756985364368,1687.1269385071669,1580.8543534713383,1500.0
Rafael Nadal,1870.3160930881395,1855.0716064695416,1989.508141791577,1843.0847543212199,1500.0
Tommy Paul,1866.4284237009754,1802.1175396584815,1800.414296389486,1665.8708029329994,1500.0
Jiri Lehecka,1863.269513479194,1796.0525459382336,1702.432977551587,1607.885883901138,1500.0
Lorenzo Musetti,1854.7136971308244,1802.2348056240094,1866.1005113646033,1659.6083390266267,1500.0
Alex De Minaur,1853.0853361145537,1870.020603133591,1713.559131372753,1715.9221763421815,1500.0
Taylor Fritz,1835.694757292877,1789.3758840136188,1685.7866740121835,1800.5421963445476,1500.0
Jakub Mensik,1821.880284680793,1792.2283354960919,1636.2755212362592,1519.3191552226153,1500.0
Valentin Vacherot,1810.6089621431804,1744.148729335175,1588.4907186427006,1500.0,1500.0
Alexander Bublik,1810.5062202247416,1744.6996789977095,1716.8963094379997,1700.312305778807,1500.0
Casper Ruud,1808.308616233237,1727.3255937451734,1843.252888720558,1483.8185354430993,1500.0
Francisco Cerundolo,1805.406221787513,1784.7838857957886,1745.2526568766268,1468.2756292513827,1500.0
Frances Tiafoe,1803.1731961300866,1770.155359196031,1663.7839557174805,1581.5921151746961,1500.0
Joao Fonseca,1802.3355038388056,1774.697693554522,1639.7890747202193,1510.387083388109,1500.0
Nick Kyrgios,1802.2072409751936,1765.647647932234,1634.0973603338316,1720.3475745868225,1500.0
Sebastian Korda,1802.0535865011507,1772.4957709315756,1618.6809725856076,1614.4445649753002,1500.0
Flavio Cobolli,1792.573560454131,1657.2025813772905,1767.02940709891,1601.9561086782005,1500.0
Learner Tien,1781.8618396665067,1808.7074836607915,1447.8619303593703,1512.8775599950295,1500.0
Cameron Norrie,1778.0655470238862,1703.7246330061755,1742.0787496021396,1655.0665953533655,1500.0
Rafael Jodar,1775.1294496887804,1555.7849016119687,1706.899521621937,1500.0,1500.0
Holger Rune,1771.7715872009119,1783.775685309278,1764.5913573065232,1588.0480780915173,1500.0
Milos Raonic,1771.2234355489747,1795.0126535333484,1737.1377655013425,1732.147233384609,1500.0
Tomas Martin Etcheverry,1768.5795339280153,1645.0057088423152,1715.4869567314158,1437.3636919491353,1500.0
Andy Roddick,1759.4549699906268,1729.8135033319588,1446.8935188957025,1643.6310024832205,1500.0
Andrey Rublev,1758.7701885201732,1714.4626265201844,1715.2021914781087,1664.9405768601634,1500.0
Thanasi Kokkinakis,1756.3850606102253,1719.9587750931998,1526.7962209185046,1505.6636311566137,1500.0
Alejandro Davidovich Fokina,1738.1654757368262,1711.5350698488294,1657.6081420291239,1546.0212573199499,1500.0
Hubert Hurkacz,1731.1105545412822,1662.8224318706837,1726.2839591806867,1693.8131370362908,1500.0
Tomas Machac,1726.656053285318,1737.0666010581228,1602.7721012748711,1506.0169993677027,1500.0
Alex Michelsen,1724.1127675942796,1730.9360347022464,1457.5731355316448,1562.2363806522267,1500.0
