player,hard_last_5_win_rate,hard_last_10_win_rate,hard_surface_last_10_win_rate,hard_days_since_last_match,hard_matches_last_14_days,hard_matches_last_3_days,hard_minutes_last_7_days,hard_sets_last_7_days,hard_retired_last_match,hard_retirements_last_90_days,hard_walkovers_last_90_days,hard_ace_rate,hard_double_fault_rate,hard_first_serve_points_won,hard_second_serve_points_won,hard_return_points_won,hard_break_points_saved,hard_break_points_converted,hard_last_10_ace_rate,hard_surface_last_10_ace_rate,hard_last_10_double_fault_rate,hard_surface_last_10_double_fault_rate,hard_last_10_first_serve_points_won,hard_surface_last_10_first_serve_points_won,hard_last_10_second_serve_points_won,hard_surface_last_10_second_serve_points_won,hard_last_10_return_points_won,hard_surface_last_10_return_points_won,hard_last_10_break_points_saved,hard_surface_last_10_break_points_saved,hard_last_10_break_points_converted,hard_surface_last_10_break_points_converted,clay_last_5_win_rate,clay_last_10_win_rate,clay_surface_last_10_win_rate,clay_days_since_last_match,clay_matches_last_14_days,clay_matches_last_3_days,clay_minutes_last_7_days,clay_sets_last_7_days,clay_retired_last_match,clay_retirements_last_90_days,clay_walkovers_last_90_days,clay_ace_rate,clay_double_fault_rate,clay_first_serve_points_won,clay_second_serve_points_won,clay_return_points_won,clay_break_points_saved,clay_break_points_converted,clay_last_10_ace_rate,clay_surface_last_10_ace_rate,clay_last_10_double_fault_rate,clay_surface_last_10_double_fault_rate,clay_last_10_first_serve_points_won,clay_surface_last_10_first_serve_points_won,clay_last_10_second_serve_points_won,clay_surface_last_10_second_serve_points_won,clay_last_10_return_points_won,clay_surface_last_10_return_points_won,clay_last_10_break_points_saved,clay_surface_last_10_break_points_saved,clay_last_10_break_points_converted,clay_surface_last_10_break_points_converted,grass_last_5_win_rate,grass_last_10_win_rate,grass_surface_last_10_win_rate,grass_days_since_last_match,grass_matches_last_14_days,grass_matches_last_3_days,grass_minutes_last_7_days,grass_sets_last_7_days,grass_retired_last_match,grass_retirements_last_90_days,grass_walkovers_last_90_days,grass_ace_rate,grass_double_fault_rate,grass_first_serve_points_won,grass_second_serve_points_won,grass_return_points_won,grass_break_points_saved,grass_break_points_converted,grass_last_10_ace_rate,grass_surface_last_10_ace_rate,grass_last_10_double_fault_rate,grass_surface_last_10_double_fault_rate,grass_last_10_first_serve_points_won,grass_surface_last_10_first_serve_points_won,grass_last_10_second_serve_points_won,grass_surface_last_10_second_serve_points_won,grass_last_10_return_points_won,grass_surface_last_10_return_points_won,grass_last_10_break_points_saved,grass_surface_last_10_break_points_saved,grass_last_10_break_points_converted,grass_surface_last_10_break_points_converted,carpet_last_5_win_rate,carpet_last_10_win_rate,carpet_surface_last_10_win_rate,carpet_days_since_last_match,carpet_matches_last_14_days,carpet_matches_last_3_days,carpet_minutes_last_7_days,carpet_sets_last_7_days,carpet_retired_last_match,carpet_retirements_last_90_days,carpet_walkovers_last_90_days,carpet_ace_rate,carpet_double_fault_rate,carpet_first_serve_points_won,carpet_second_serve_points_won,carpet_return_points_won,carpet_break_points_saved,carpet_break_points_converted,carpet_last_10_ace_rate,carpet_surface_last_10_ace_rate,carpet_last_10_double_fault_rate,carpet_surface_last_10_double_fault_rate,carpet_last_10_first_serve_points_won,carpet_surface_last_10_first_serve_points_won,carpet_last_10_second_serve_points_won,carpet_surface_last_10_second_serve_points_won,carpet_last_10_return_points_won,carpet_surface_last_10_return_points_won,carpet_last_10_break_points_saved,carpet_surface_last_10_break_points_saved,carpet_last_10_break_points_converted,carpet_surface_last_10_break_points_converted
Aaron Gil Garcia,0.0,0.0,0.0,222,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abd Hazli Bin Zainuddin,0.5,0.5,0.5,5767,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,5767,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,5767,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,5767,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdulaziz Usmonjonov,0.0,0.0,0.0,75,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdulhameed Alshatti,0.0,0.0,0.0,4402,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4402,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4402,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4402,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdulhamid Mubarak,0.0,0.0,0.0,3702,0,0,0.0,0,0,0,0,0.0,0.022727272727272728,0.5172413793103449,0.5666666666666667,0.35384615384615387,0.6666666666666666,0.3333333333333333,0.0,0.0,0.022727272727272728,0.0,0.5172413793103449,0.0,0.5666666666666667,0.0,0.35384615384615387,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,3702,0,0,0.0,0,0,0,0,0.0,0.022727272727272728,0.5172413793103449,0.5666666666666667,0.35384615384615387,0.6666666666666666,0.3333333333333333,0.0,0.0,0.022727272727272728,0.022727272727272728,0.5172413793103449,0.5172413793103449,0.5666666666666667,0.5666666666666667,0.35384615384615387,0.35384615384615387,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,3702,0,0,0.0,0,0,0,0,0.0,0.022727272727272728,0.5172413793103449,0.5666666666666667,0.35384615384615387,0.6666666666666666,0.3333333333333333,0.0,0.0,0.022727272727272728,0.0,0.5172413793103449,0.0,0.5666666666666667,0.0,0.35384615384615387,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,3702,0,0,0.0,0,0,0,0,0.0,0.022727272727272728,0.5172413793103449,0.5666666666666667,0.35384615384615387,0.6666666666666666,0.3333333333333333,0.0,0.0,0.022727272727272728,0.0,0.5172413793103449,0.0,0.5666666666666667,0.0,0.35384615384615387,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0
Abdulla Hajji,0.0,0.0,0.0,5953,0,0,0.0,0,0,0,0,0.0,0.05714285714285714,0.3181818181818182,0.15384615384615385,0.1935483870967742,0.14285714285714285,0.0,0.0,0.0,0.05714285714285714,0.05714285714285714,0.3181818181818182,0.3181818181818182,0.15384615384615385,0.15384615384615385,0.1935483870967742,0.1935483870967742,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,5953,0,0,0.0,0,0,0,0,0.0,0.05714285714285714,0.3181818181818182,0.15384615384615385,0.1935483870967742,0.14285714285714285,0.0,0.0,0.0,0.05714285714285714,0.0,0.3181818181818182,0.0,0.15384615384615385,0.0,0.1935483870967742,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,5953,0,0,0.0,0,0,0,0,0.0,0.05714285714285714,0.3181818181818182,0.15384615384615385,0.1935483870967742,0.14285714285714285,0.0,0.0,0.0,0.05714285714285714,0.0,0.3181818181818182,0.0,0.15384615384615385,0.0,0.1935483870967742,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,5953,0,0,0.0,0,0,0,0,0.0,0.05714285714285714,0.3181818181818182,0.15384615384615385,0.1935483870967742,0.14285714285714285,0.0,0.0,0.0,0.05714285714285714,0.0,0.3181818181818182,0.0,0.15384615384615385,0.0,0.1935483870967742,0.0,0.14285714285714285,0.0,0.0,0.0
Abdullah Maqdas,0.4,0.5,0.5,3366,0,0,0.0,0,0,0,0,0.015822784810126583,0.012658227848101266,0.6032388663967612,0.4782608695652174,0.3709677419354839,0.5757575757575758,0.28125,0.003915906788247214,0.005221209050996285,0.0033738601823708205,0.004498480243161094,0.15093457943925231,0.20124610591900308,0.11932773109243697,0.15910364145658262,0.09092548865276137,0.12123398487034849,0.13068181818181818,0.17424242424242423,0.0698051948051948,0.09307359307359307,0.4,0.5,0.5,3366,0,0,0.0,0,0,0,0,0.015822784810126583,0.012658227848101266,0.6032388663967612,0.4782608695652174,0.3709677419354839,0.5757575757575758,0.28125,0.003915906788247214,0.0,0.0033738601823708205,0.0,0.15093457943925231,0.0,0.11932773109243697,0.0,0.09092548865276137,0.0,0.13068181818181818,0.0,0.0698051948051948,0.0,0.4,0.5,0.0,3366,0,0,0.0,0,0,0,0,0.015822784810126583,0.012658227848101266,0.6032388663967612,0.4782608695652174,0.3709677419354839,0.5757575757575758,0.28125,0.003915906788247214,0.0,0.0033738601823708205,0.0,0.15093457943925231,0.0,0.11932773109243697,0.0,0.09092548865276137,0.0,0.13068181818181818,0.0,0.0698051948051948,0.0,0.4,0.5,0.0,3366,0,0,0.0,0,0,0,0,0.015822784810126583,0.012658227848101266,0.6032388663967612,0.4782608695652174,0.3709677419354839,0.5757575757575758,0.28125,0.003915906788247214,0.0,0.0033738601823708205,0.0,0.15093457943925231,0.0,0.11932773109243697,0.0,0.09092548865276137,0.0,0.13068181818181818,0.0,0.0698051948051948,0.0
Abdulmajeed Bukhari,0.0,0.0,0.0,447,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdulmalek Burasais,0.0,0.0,0.0,447,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdulrahman Alawadhi,0.0,0.0,0.0,3702,0,0,0.0,0,0,0,0,0.013333333333333334,0.08,0.5238095238095238,0.2727272727272727,0.33766233766233766,0.2727272727272727,0.0,0.013333333333333334,0.0,0.08,0.0,0.5238095238095238,0.0,0.2727272727272727,0.0,0.33766233766233766,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,3702,0,0,0.0,0,0,0,0,0.013333333333333334,0.08,0.5238095238095238,0.2727272727272727,0.33766233766233766,0.2727272727272727,0.0,0.013333333333333334,0.013333333333333334,0.08,0.08,0.5238095238095238,0.5238095238095238,0.2727272727272727,0.2727272727272727,0.33766233766233766,0.33766233766233766,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,3702,0,0,0.0,0,0,0,0,0.013333333333333334,0.08,0.5238095238095238,0.2727272727272727,0.33766233766233766,0.2727272727272727,0.0,0.013333333333333334,0.0,0.08,0.0,0.5238095238095238,0.0,0.2727272727272727,0.0,0.33766233766233766,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,3702,0,0,0.0,0,0,0,0,0.013333333333333334,0.08,0.5238095238095238,0.2727272727272727,0.33766233766233766,0.2727272727272727,0.0,0.013333333333333334,0.0,0.08,0.0,0.5238095238095238,0.0,0.2727272727272727,0.0,0.33766233766233766,0.0,0.2727272727272727,0.0,0.0,0.0
