surface,player,surface_elo
Carpet,Frederik Nielsen,1563.796887462924
Carpet,Jerzy Janowicz,1555.0279385244971
Carpet,Mirza Basic,1543.7334920786259
Carpet,Jarkko Nieminen,1530.7025708402437
Carpet,Radu Albot,1530.6171588825762
Carpet,Marcos Baghdatis,1530.0
Carpet,Ernests Gulbis,1528.798651464604
Carpet,Go Soeda,1528.395946674568
Carpet,Grzegorz Panfil,1528.395946674568
Carpet,Christian Sigsgaard,1528.395946674568
Carpet,Tatsuma Ito,1527.794138223378
Carpet,Laurynas Grigelis,1515.6471999915343
Carpet,Nikoloz Basilashvili,1515.6192581541156
Carpet,Lukasz Kubot,1515.0
Carpet,Markos Kalovelonis,1515.0
Carpet,Ricardas Berankis,1514.9911122337014
Carpet,Sam Barry,1514.6272718731486
Carpet,James Mcgee,1514.440257852679
Carpet,Barry King,1514.0
Carpet,Benjamin Balleret,1514.0
Carpet,Dimitar Kuzmanov,1514.0
Carpet,Benjamin Hannestad,1514.0
Carpet,Reda El Amrani,1501.519501269934
Carpet,Andis Juska,1501.3862759246929
Carpet,Mikael Torpegaard,1501.03168226166
Carpet,Marton Fucsovics,1500.8150518940618
Carpet,Jurgen Zopp,1500.8025373517507
Carpet,Adam Kellner,1500.623031970967
Carpet,Malek Jaziri,1500.6193079298398
Carpet,Marsel Ilhan,1500.205861776622
Carpet,Michal Przysiezny,1500.0
Carpet,Jean Rene Lisnard,1500.0
Carpet,Dimitar Kutrovsky,1500.0
Carpet,Damir Dzumhur,1500.0
Carpet,Attila Balazs,1499.8551627787842
Carpet,Soren Hess Olesen,1499.604053325432
Carpet,George Tsivadze,1488.6688685313222
Carpet,Jaak Poldma,1487.7136463391535
Carpet,Lofo Ramiaramanana,1486.6289580855416
Carpet,Francis Casey Alcantara,1486.604053325432
Carpet,Ando Rasolomalala,1486.604053325432
Carpet,Irakli Metreveli,1486.604053325432
Carpet,Amine Ahouda,1486.5872952425598
Carpet,Harri Heliovaara,1486.3223520406714
Carpet,Martin Pedersen,1486.3221839300818
Carpet,Baris Erguden,1486.0
Carpet,Soren Wedege,1486.0
Carpet,Christopher Koutrouzas,1486.0
Carpet,Giorgi Javakhishvili,1486.0
Carpet,Lukas Mugevicius,1485.9739209517425
Carpet,Anis Ghorbel,1485.6471999915343
Carpet,Mariusz Fyrstenberg,1485.4461778531727
Carpet,Mehdi Jdi,1485.395946674568
Carpet,Dovydas Sakinis,1485.388024530365
Carpet,Jacob Rasolondrazana,1485.0279418374187
Carpet,Emil Ruusuvuori,1485.0279418374187
Carpet,Haluk Akkoyun,1485.0
Carpet,Treat Conrad Huey,1485.0
Carpet,Thomas Oger,1485.0
Carpet,Tzvetan Mihov,1485.0
Carpet,Philippos Tsangaridis,1485.0
Carpet,Antso Rakotondramanga,1485.0
Carpet,Vladimir Ivanov,1485.0
Carpet,Tomislav Brkic,1485.0
Carpet,Karlis Lejnieks,1484.3528000084657
Carpet,Eero Vasa,1484.3528000084657
Carpet,Deniss Pavlovs,1484.3517116356654
Carpet,Patrik Niklas Salminen,1483.8144887159085
Carpet,Conor Niland,1482.8964651214317
Carpet,Cecil Mamiit,1472.205861776622
Carpet,Maxim Dubarenco,1470.6170108221188
Carpet,Alexandros Jakupovic,1470.0
Clay,Carlos Alcaraz,2103.1134219341834
Clay,Jannik Sinner,2060.6789099015214
Clay,Novak Djokovic,2003.14081258093
Clay,Rafael Nadal,1989.508141791577
Clay,Roger Federer,1904.1253458242622
Clay,Alexander Zverev,1904.041068457368
Clay,Lorenzo Musetti,1866.1005113646033
Clay,Arthur Fils,1853.4598982985538
Clay,Casper Ruud,1843.252888720558
Clay,Tommy Paul,1800.414296389486
Clay,Stefanos Tsitsipas,1798.8985807862794
Clay,Andy Murray,1797.7689336515905
Clay,Juan Martin del Potro,1779.092474661304
Clay,Robin Soderling,1778.455180512393
Clay,Flavio Cobolli,1767.02940709891
Clay,Holger Rune,1764.5913573065232
Clay,Francisco Cerundolo,1745.2526568766268
Clay,Cameron Norrie,1742.0787496021396
Clay,Milos Raonic,1737.1377655013425
Clay,Matteo Berrettini,1731.3950752447658
Clay,Daniil Medvedev,1728.5128890335145
Clay,Hubert Hurkacz,1726.2839591806867
Clay,Alexander Bublik,1716.8963094379997
Clay,Tomas Martin Etcheverry,1715.4869567314158
Clay,Andrey Rublev,1715.2021914781087
Clay,Alex De Minaur,1713.559131372753
Clay,Tomas Berdych,1708.622335013169
Clay,Luciano Darderi,1707.1382461165783
Clay,Rafael Jodar,1706.899521621937
Clay,Jiri Lehecka,1702.432977551587
Clay,Kei Nishikori,1696.4734866008916
Clay,Alex Molcan,1695.241758228386
Clay,Jack Draper,1694.1224894816587
Clay,Felix Auger Aliassime,1691.0594746416728
Clay,Ben Shelton,1687.1269385071669
Clay,Taylor Fritz,1685.7866740121835
Clay,Karen Khachanov,1681.16240144741
Clay,Mariano Navone,1673.9037545119352
Clay,David Ferrer,1669.5713773406567
Clay,Alexander Blockx,1668.7805638888935
Clay,Frances Tiafoe,1663.7839557174805
Clay,Nicolas Almagro,1657.66425809902
Clay,Alejandro Davidovich Fokina,1657.6081420291239
Clay,John Isner,1654.3575472257335
Clay,Juan Monaco,1653.5129805267306
Clay,Kevin Anderson,1651.9319566085305
Clay,Laslo Djere,1650.6040576183264
Clay,Grigor Dimitrov,1649.598166902413
Clay,Yannick Hanfmann,1641.4249830704625
Clay,Alexandr Dolgopolov,1641.1598239825307
Clay,Joao Fonseca,1639.7890747202193
Clay,Jan Lennard Struff,1636.9293653002069
Clay,Jakub Mensik,1636.2755212362592
Clay,Vit Kopriva,1635.1505321725872
Clay,Nick Kyrgios,1634.0973603338316
Clay,Pablo Carreno Busta,1622.823181096234
Clay,Hyeon Chung,1621.6995051817448
Clay,David Nalbandian,1618.8377903067314
Clay,Sebastian Korda,1618.6809725856076
Clay,Marin Cilic,1617.641970557283
Clay,Alejandro Tabilo,1617.4983109394555
Clay,Thiago Agustin Tirante,1615.6078956992449
Clay,Alexei Popyrin,1613.866430985057
Clay,Matteo Arnaldi,1613.056053966785
Clay,Simone Bolelli,1613.0167228151065
Clay,Filip Misolic,1608.8161595851122
Clay,Camilo Ugo Carabelli,1606.6454664866746
Clay,Juan Carlos Ferrero,1604.5552515056215
Clay,Tomas Machac,1602.7721012748711
Clay,Marton Fucsovics,1601.2985591703346
Clay,Victor Hanescu,1597.4365458474513
