feature,importance
elo_diff,0.1381453
rank_points_diff,0.1031019
rank_diff,0.056937404
surface_elo_diff,0.031498432
market_prob_diff,0.027228706
bet365_prob_a,0.018624581
second_serve_points_won_diff,0.018489445
last_10_win_rate_diff,0.01775085
tourney_level_G,0.017701112
market_prob_a,0.01750669
max_market_prob_a,0.017145876
tourney_level_D,0.016023107
pinnacle_prob_a,0.015151856
surface_last_10_return_points_won_diff,0.014799066
return_points_won_diff,0.014699646
age_diff,0.013840339
days_since_last_match_diff,0.01370643
last_10_second_serve_points_won_diff,0.0130164875
first_serve_points_won_diff,0.012769763
player_a_qualifier,0.01260393
surface_last_10_ace_rate_diff,0.012451414
player_b_qualifier,0.012177687
best_of,0.012153332
surface_Grass,0.011814166
break_points_converted_diff,0.011810852
last_10_first_serve_points_won_diff,0.011791308
surface_last_10_win_rate_diff,0.0111523485
last_10_ace_rate_diff,0.0107468655
matches_last_14_days_diff,0.010496725
ace_rate_diff,0.010455444
height_diff,0.010423796
surface_last_10_second_serve_points_won_diff,0.010200883
has_market_odds,0.010012967
surface_Clay,0.009982181
surface_last_10_first_serve_points_won_diff,0.009883351
tourney_level_M,0.009864682
last_5_win_rate_diff,0.009780241
round_RR,0.0093536675
draw_size,0.00911114
double_fault_rate_diff,0.009021061
last_10_break_points_saved_diff,0.008982876
round_R16,0.0088154515
last_10_double_fault_rate_diff,0.008779447
surface_last_10_double_fault_rate_diff,0.008772936
player_b_lefty,0.0087491
player_a_wildcard,0.008674471
player_b_wildcard,0.008656516
player_a_lefty,0.008580984
surface_last_10_break_points_converted_diff,0.008498186
break_points_saved_diff,0.008491217
last_10_return_points_won_diff,0.00828465
round_R128,0.00826862
surface_last_10_break_points_saved_diff,0.008200856
round_SF,0.008015339
same_country,0.007936554
last_10_break_points_converted_diff,0.007916691
round_QF,0.0076687653
round_R32,0.007603857
seed_diff,0.007166789
tourney_level_A,0.0070491955
surface_Hard,0.00693601
round_R64,0.0069059483
player_a_lucky_loser,0.006584888
same_hand,0.00609859
player_b_lucky_loser,0.0049370686
round_F,0.0
round_BR,0.0
tourney_level_nan,0.0
tourney_level_O,0.0
tourney_level_F,0.0
surface_nan,0.0
round_nan,0.0
