feature,importance
elo_diff,0.24949123
rank_points_diff,0.17362665
rank_diff,0.1118035
surface_elo_diff,0.064773336
market_prob_diff,0.048943218
market_prob_a,0.039378643
max_market_prob_a,0.03237189
bet365_prob_a,0.031631637
tourney_level_G,0.028467827
age_diff,0.023643905
pinnacle_prob_a,0.021680102
round_RR,0.018576123
tourney_level_M,0.018544087
surface_Clay,0.018490188
best_of,0.017826585
round_QF,0.01706992
surface_Grass,0.015923006
draw_size,0.015599667
round_R16,0.011177727
tourney_level_O,0.010058205
tourney_level_A,0.010031826
round_R128,0.009034086
round_R32,0.0068437015
round_F,0.0050129564
tourney_level_F,0.0
tourney_level_D,0.0
tourney_level_nan,0.0
round_BR,0.0
surface_nan,0.0
surface_Hard,0.0
round_R64,0.0
has_market_odds,0.0
round_SF,0.0
round_nan,0.0
