feature,importance
elo_diff,0.29703715
rank_points_diff,0.22944163
rank_diff,0.11233981
surface_elo_diff,0.08585545
tourney_level_G,0.037522342
age_diff,0.029656561
best_of,0.023118375
tourney_level_M,0.022129273
surface_Hard,0.019132553
surface_Grass,0.018455954
round_R64,0.014769649
round_QF,0.014713292
round_R16,0.014353533
round_R128,0.013860178
draw_size,0.01253566
round_R32,0.012442837
surface_Clay,0.0114193205
round_RR,0.011221239
tourney_level_A,0.011015306
round_SF,0.008979955
tourney_level_nan,0.0
round_F,0.0
round_BR,0.0
tourney_level_O,0.0
tourney_level_F,0.0
tourney_level_D,0.0
surface_nan,0.0
round_nan,0.0
